scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,turn,turn,turn,tip,tip,tip
coords,x,y,z,x,y,z
83,11.999254499635299,4.009143537568028,23.718704226107075,10.84226737974491,3.183864695778697,19.128524024474412
84,12.003492832176608,4.050077379985985,23.567819062784455,10.736495793088011,3.2033083426881874,19.102901842977623
85,12.00711361666028,4.102253853211197,23.486601174147143,10.698339115082122,3.3169838148196322,19.28028628742709
86,12.00806459165115,4.126681705766103,23.514586420851263,10.615489750684837,3.400605635611548,19.15806642293221
87,12.036622525079087,4.184449112659034,23.5853390683049,10.566094049663178,3.456041975928366,19.202802647506388
88,,,,10.470241810225115,3.5053900013207464,19.196032436665767
89,,,,10.061309987520785,3.4991314507010642,18.787692638555562
90,,,,9.897741346975124,3.435195628903651,18.51350903903226
91,,,,9.7029877410294,3.4089658011557487,18.35467128081841
92,,,,9.496064599012303,3.412192393340394,18.4658477814936
93,11.41229803908816,3.7612345727882777,21.04805442462587,9.293941088058943,3.3948716209570318,18.50663150847014
94,11.177231911695449,3.6163055309670242,20.892961804521267,8.971481870554452,3.2590409680190744,18.24041258643217
95,11.056089259645146,3.596644367575537,21.124466853123806,8.804133452189896,3.2266279438184364,18.454135104332956
96,10.882096171624525,3.514407633638705,20.953334836967656,8.579631675573776,3.1663481622268588,18.377959011944306
97,10.786360543484644,3.4898798316158,21.05133950300057,8.443568225684304,3.1129845604509105,18.276365447936907
98,10.642845643107654,3.42137619522796,20.89015870509683,8.30045539418064,3.0569855618032324,18.099255141850186
99,10.559609573312155,3.393254341018498,20.81566273536246,8.14718239358835,3.0484704783066117,18.126098363656745
100,10.447063403312914,3.2729359232173225,20.76861944610386,8.020461019928808,3.030541206390885,18.13602684518543
101,10.219761659269645,3.0850920857849156,20.40275491026502,7.781602637016155,2.885936122157832,17.73014003545021
102,10.065384213836362,3.0165874679175144,20.2057040595955,7.646078041618787,2.8487817245355607,17.574309291975336
103,9.763447036403457,2.898527686178605,19.717780760902333,7.379637091868598,2.775586737011419,17.19734016873233
104,9.54978051883065,2.8306819623627666,19.611404608896912,7.15256551830576,2.740996298135623,17.11024910463747
105,9.313098833590857,2.825468815598596,19.367854039545904,6.929661543902586,2.6758023861720486,16.918944811754415
106,8.765889016428718,2.8758372659667804,18.950793852390852,6.347481817987907,2.587288281871827,16.477243132883128
107,8.428599727115337,2.82611823123138,18.685936118342124,6.010555959170016,2.546288873566189,16.280672575346294
108,7.984616148010413,2.8158097231319097,18.815426626610385,5.4896404843565385,2.5724493092833205,16.432692841329718
109,7.651557110034338,2.7741039733555515,18.708990914035898,5.122349585671052,2.529692084584021,16.321850742612387
110,6.74972397647321,2.536191562480184,17.654666438941696,4.231482425333308,2.3755022086723674,15.482658887466458
111,6.511245555756934,2.5374934800222992,17.66475247580084,3.9814878538763776,2.3638020398535766,15.523703706753846
112,6.005577533674243,2.4284545195483696,18.156771400026624,3.178266311796603,2.5013030985543576,16.31160217413246
113,5.860410259338326,2.426876780909064,18.194250558312127,3.004309358721843,2.553113177473052,16.495869836952227
114,5.675363521831193,2.427591175771194,18.125334208964638,2.8357395030880617,2.58706948746493,16.562848717374056
115,5.551178713736687,2.450689360037336,18.197586744263152,2.6712012074367784,2.625791123880657,16.646174281367756
116,5.376338789519311,2.461201003713061,18.188058004639203,2.495256029732571,2.6449701330169857,16.633752585843613
117,5.003326295770728,2.4779165883562464,18.087927349167582,2.1001592519073453,2.700817504846704,16.697905860972334
118,4.815580352641826,2.4711276394839183,18.083060357447984,1.8950774092086997,2.720358346847436,16.678897483898893
119,4.311982319621886,2.352151155358159,16.93977291547311,1.5916109683293267,2.6481805696347522,15.719671551056605
120,3.9722179024353346,2.355082897378631,16.99158726361113,1.1724954096524316,2.721959215037391,15.849253551901251
121,3.7326042527746646,2.356604757329958,16.80060624589946,0.9279499754677072,2.7225538360400554,15.756968246038982
122,3.3169945596942103,2.4234217550287016,16.827996067957617,0.45442459628770093,2.8080014751538065,16.0157725272471
123,2.817106872353659,2.3904415165763027,16.826513091060534,-0.08318680992312559,2.784283094916861,15.992903161149034
124,2.5643835041548364,2.3890936023157074,16.929154175278086,-0.37343403839618344,2.7864709049694434,16.08863343348544
